variable,var_type,bin,count,bads,goods,dist_bad,dist_good,woe,iv_component,iv_total
rat_tpas_limi_6med,num,bin_1,1999,329,1670,0.3560606060606061,0.10060240963855421,1.2639247480575215,0.3228799365519707,0.5035699669096227
rat_tpas_limi_6med,num,bin_2,1999,155,1844,0.16774891774891776,0.11108433734939759,0.41217861550565804,0.023355928297283272,0.5035699669096227
rat_tpas_limi_6med,num,bin_3,13526,440,13086,0.47619047619047616,0.7883132530120482,-0.5040776058144268,0.15733410206036874,0.5035699669096227
rat_tpas_lim_12med,num,bin_1,2006,287,1719,0.3106060606060606,0.10355421686746988,1.0984301130797223,0.2274319801311452,0.44461480197512
rat_tpas_lim_12med,num,bin_2,2006,180,1826,0.19480519480519481,0.11,0.5715196924382471,0.04846783885223057,0.44461480197512
rat_tpas_lim_12med,num,bin_3,10027,380,9647,0.41125541125541126,0.5811445783132531,-0.3457851097471718,0.05874514427595143,0.44461480197512
rat_tpas_lim_12med,num,bin_8,3485,77,3408,0.08333333333333333,0.2053012048192771,-0.901629563392572,0.10996983871579283,0.44461480197512
rat_ventas_tsal_6md,num,bin_1,10075,598,9477,0.6471861471861472,0.5709036144578313,0.12541356718338734,0.009566864543241585,0.0244984822493992
rat_ventas_tsal_6md,num,bin_7,7449,326,7123,0.3528138528138528,0.42909638554216867,-0.19574097990869577,0.014931617706157703,0.0244984822493992
rat_ventas_tsal_12md,num,bin_1,10577,652,9925,0.7056277056277056,0.5978915662650602,0.16567835907421224,0.01784954678259373,0.0514499183878689
rat_ventas_tsal_12md,num,bin_7,6947,272,6675,0.2943722943722944,0.40210843373493976,-0.3118765142695025,0.03360037160527518,0.0514499183878689
saldo_haber_6med,num,bin_1,1999,300,1699,0.3246753246753247,0.10234939759036145,1.1544332556872194,0.2566604438283735,0.3199315864082231
saldo_haber_6med,num,bin_2,15525,624,14901,0.6753246753246753,0.8976506024096386,-0.2845873327030822,0.06327114257984962,0.3199315864082231
saldo_haber_12med,num,bin_1,2006,269,1737,0.2911255411255411,0.10463855421686746,1.0232425160636847,0.19082141369756667,0.2884501200133108
saldo_haber_12med,num,bin_2,2006,146,1860,0.15800865800865802,0.11204819277108434,0.34372075770404,0.015797565935889015,0.2884501200133108
saldo_haber_12med,num,bin_3,13512,509,13003,0.5508658008658008,0.7833132530120482,-0.3520414597978468,0.08183114037985507,0.2884501200133108
spashaber_prom_6med,num,bin_1,1999,309,1690,0.3344155844155844,0.10180722891566266,1.1893033716835766,0.2766419014778289,0.3463591003660831
